wqdt,bCod,bTn
2021-07-21,6.0,7.027
2021-07-22,6.2,6.086
2021-07-23,6.0,6.667
2021-07-24,6.2,5.052
2021-07-25,6.5,5.426
2021-07-26,6.8,5.023
2021-07-27,7.1,6.031
2021-07-28,6.6,5.566
2021-07-29,7.2,6.017
2021-07-30,6.9,5.866
2021-07-31,6.7,5.155
2021-08-01,5.9,4.843
2021-08-02,5.4,5.438
2021-08-03,5.1,6.492
2021-08-04,5.5,5.669
2021-08-05,5.7,5.014
2021-08-06,5.8,6.23
2021-08-07,7.2,4.939
2021-08-08,6.7,5.052
2021-08-09,6.9,5.474
2021-08-10,6.2,5.419
2021-08-11,5.9,5.926
2021-08-12,6.1,6.278
2021-08-13,5.1,5.498
2021-08-14,5.2,5.4
2021-08-15,5.2,6.108
2021-08-16,5.5,6.137
2021-08-17,5.2,3.703
2021-08-18,5.0,5.453
2021-08-19,6.5,5.801
2021-08-20,6.1,4.91
2021-08-21,5.9,4.86
2021-08-22,5.6,4.442
2021-08-23,5.5,4.358
2021-08-24,4.2,4.183
2021-08-25,4.8,5.338
2021-08-26,4.1,5.254
2021-08-27,5.0,4.886
2021-08-28,4.8,4.519
2021-08-29,5.3,5.232
2021-08-30,5.6,5.46
2021-08-31,5.3,4.889
2021-09-01,6.6,4.81
2021-09-02,6.7,4.963
2021-09-03,6.6,4.157
2021-09-04,6.8,4.159
2021-09-05,7.2,4.752
2021-09-06,7.1,5.004
2021-09-07,5.8,4.97
2021-09-08,6.2,4.171
2021-09-09,6.8,5.484
2021-09-10,6.2,5.4
2021-09-11,6.7,4.882
2021-09-12,6.5,5.081
2021-09-13,6.7,5.22
2021-09-14,6.3,5.7
2021-09-15,6.4,4.73
2021-09-16,6.5,4.944
2021-09-17,6.7,4.747
2021-09-18,6.8,5.251
2021-09-19,7.2,4.915
2021-09-20,7.1,5.532
2021-09-21,7.3,4.692
2021-09-22,6.3,5.813
2021-09-23,6.7,3.29
2021-09-24,6.4,3.199
2021-09-25,6.4,3.852
2021-09-26,6.4,4.8
2021-09-27,6.7,4.632
2021-09-28,6.7,5.076
2021-09-29,6.1,4.862
2021-09-30,5.1,3.271
2021-10-01,5.8,4.406
2021-10-02,5.9,4.862
2021-10-03,5.7,4.92
2021-10-04,6.0,5.203
2021-10-05,6.0,5.148
2021-10-06,6.0,5.033
2021-10-07,6.2,4.692
2021-10-08,6.8,6.139
2021-10-09,7.3,5.191
2021-10-10,7.4,5.506
2021-10-11,7.5,5.938
2021-10-12,7.3,5.45
2021-10-13,7.5,5.794
2021-10-14,7.4,5.215
2021-10-15,7.1,5.345
2021-10-16,7.4,5.71
2021-10-17,8.5,6.386
2021-10-18,8.7,5.542
2021-10-19,7.6,5.681
2021-10-20,7.1,5.736
2021-10-21,6.8,4.891
2021-10-22,7.3,4.555
2021-10-23,7.6,4.445
2021-10-24,7.8,4.872
2021-10-25,7.5,6.353
2021-10-26,7.7,5.952
2021-10-27,7.5,6.286
2021-10-28,7.6,5.268
2021-10-29,6.7,5.438
2021-10-30,6.9,5.834
2021-10-31,7.2,6.37
